ad_id,country,age_range,male,female,unknown
571896965547414,CZ,18-24,187.0,347.0,5.0
571896965547414,CZ,45-54,2382.0,4302.0,24.0
571896965547414,CZ,65+,356.0,989.0,2.0
571896965547414,CZ,55-64,1077.0,1969.0,16.0
571896965547414,CZ,35-44,2958.0,4993.0,24.0
571896965547414,CZ,25-34,1616.0,2336.0,13.0
2372307699785054,CZ,18-24,12.0,22.0,
2372307699785054,CZ,25-34,135.0,90.0,
2372307699785054,CZ,35-44,399.0,437.0,
2372307699785054,CZ,45-54,472.0,579.0,3.0
2372307699785054,CZ,55-64,262.0,421.0,
2372307699785054,CZ,65+,68.0,235.0,1.0
1645700829631103,CZ,18-24,109.0,440.0,2.0
1645700829631103,CZ,45-54,1701.0,5189.0,14.0
1645700829631103,CZ,65+,326.0,1496.0,2.0
1645700829631103,CZ,55-64,1120.0,3383.0,8.0
1645700829631103,CZ,35-44,1239.0,5428.0,14.0
1645700829631103,CZ,25-34,709.0,2684.0,3.0
933063195388931,CZ,18-24,9.0,66.0,
933063195388931,CZ,25-34,75.0,580.0,
933063195388931,CZ,35-44,115.0,1016.0,1.0
933063195388931,CZ,45-54,107.0,763.0,3.0
933063195388931,CZ,55-64,54.0,326.0,
933063195388931,CZ,65+,22.0,169.0,1.0
1117886149761019,CZ,18-24,333.0,1810.0,3.0
1117886149761019,CZ,45-54,1012.0,4194.0,11.0
1117886149761019,CZ,65+,181.0,1185.0,3.0
1117886149761019,CZ,55-64,666.0,3496.0,7.0
1117886149761019,CZ,35-44,2166.0,5087.0,13.0
1117886149761019,CZ,25-34,2650.0,7143.0,26.0
8502610509815543,CZ,18-24,273.0,344.0,3.0
8502610509815543,CZ,45-54,3097.0,3985.0,14.0
8502610509815543,CZ,65+,385.0,848.0,2.0
8502610509815543,CZ,55-64,1595.0,2271.0,7.0
8502610509815543,CZ,35-44,3130.0,3237.0,15.0
8502610509815543,CZ,25-34,2458.0,1935.0,10.0
807583424623131,CZ,18-24,394.0,1601.0,4.0
807583424623131,CZ,45-54,1339.0,3902.0,7.0
807583424623131,CZ,65+,258.0,1243.0,4.0
807583424623131,CZ,55-64,925.0,3190.0,5.0
807583424623131,CZ,35-44,1852.0,3690.0,11.0
807583424623131,CZ,25-34,2053.0,4393.0,14.0
1078269420379586,CZ,18-24,58.0,187.0,
1078269420379586,CZ,45-54,1140.0,4472.0,7.0
1078269420379586,CZ,65+,194.0,1042.0,3.0
1078269420379586,CZ,55-64,750.0,3262.0,6.0
1078269420379586,CZ,35-44,828.0,1993.0,5.0
1078269420379586,CZ,25-34,533.0,842.0,1.0
886744606173158,CZ,18-24,,16.0,
886744606173158,CZ,45-54,6.0,77.0,
886744606173158,CZ,55-64,1.0,41.0,
886744606173158,CZ,25-34,10.0,196.0,
886744606173158,CZ,35-44,32.0,208.0,
886744606173158,CZ,65+,3.0,20.0,
458148710373252,CZ,18-24,411.0,511.0,1.0
458148710373252,CZ,45-54,3004.0,2970.0,6.0
458148710373252,CZ,65+,175.0,301.0,
458148710373252,CZ,55-64,794.0,1020.0,4.0
458148710373252,CZ,35-44,4975.0,4600.0,24.0
458148710373252,CZ,25-34,4016.0,2790.0,17.0
1530810711167897,CZ,45-54,2877.0,3280.0,6.0
1530810711167897,CZ,35-44,3703.0,4005.0,12.0
1530810711167897,CZ,65+,258.0,718.0,
1530810711167897,CZ,55-64,1289.0,2158.0,4.0
1530810711167897,CZ,18-24,159.0,350.0,3.0
1530810711167897,CZ,25-34,1912.0,1835.0,6.0
1205703007262095,CZ,18-24,75.0,498.0,
1205703007262095,CZ,25-34,1104.0,4461.0,15.0
1205703007262095,CZ,35-44,2027.0,5888.0,13.0
1205703007262095,CZ,45-54,797.0,2696.0,8.0
1205703007262095,CZ,55-64,245.0,1488.0,2.0
1205703007262095,CZ,65+,91.0,712.0,
1465906464063733,CZ,18-24,74.0,56.0,1.0
1465906464063733,CZ,35-44,1775.0,1472.0,1.0
1465906464063733,CZ,65+,122.0,295.0,
1465906464063733,CZ,55-64,615.0,822.0,3.0
1465906464063733,CZ,45-54,1567.0,1524.0,6.0
1465906464063733,CZ,25-34,997.0,497.0,2.0
433169242902127,CZ,65+,355.0,845.0,2.0
433169242902127,CZ,45-54,5530.0,7021.0,15.0
433169242902127,CZ,55-64,1922.0,2983.0,7.0
433169242902127,CZ,35-44,7058.0,7136.0,20.0
433169242902127,CZ,18-24,449.0,588.0,6.0
433169242902127,CZ,25-34,4657.0,3190.0,14.0
278447535205390,CZ,25-34,553.0,997.0,3.0
278447535205390,CZ,65+,231.0,984.0,1.0
278447535205390,CZ,55-64,827.0,2381.0,1.0
278447535205390,CZ,45-54,1361.0,3607.0,7.0
278447535205390,CZ,35-44,1048.0,3073.0,6.0
278447535205390,CZ,18-24,69.0,160.0,1.0
274370739052476,CZ,65+,373.0,1163.0,1.0
274370739052476,CZ,35-44,4246.0,5523.0,23.0
274370739052476,CZ,55-64,1758.0,3473.0,7.0
274370739052476,CZ,45-54,3846.0,6303.0,16.0
274370739052476,CZ,25-34,3531.0,3129.0,13.0
274370739052476,CZ,18-24,526.0,713.0,4.0
1098323108084284,CZ,55-64,367.0,959.0,1.0
1098323108084284,CZ,35-44,2648.0,6568.0,12.0
1098323108084284,CZ,65+,120.0,372.0,1.0
1098323108084284,CZ,45-54,1357.0,3306.0,10.0
1098323108084284,CZ,25-34,2233.0,3899.0,16.0
1098323108084284,CZ,18-24,312.0,723.0,3.0
914306460282867,CZ,18-24,83.0,164.0,1.0
914306460282867,CZ,45-54,1293.0,2806.0,8.0
914306460282867,CZ,65+,106.0,359.0,
914306460282867,CZ,55-64,425.0,1184.0,1.0
914306460282867,CZ,35-44,1660.0,3432.0,8.0
914306460282867,CZ,25-34,988.0,1557.0,6.0
762708425744440,CZ,18-24,363.0,257.0,1.0
762708425744440,CZ,35-44,4464.0,3962.0,7.0
762708425744440,CZ,65+,254.0,618.0,
762708425744440,CZ,55-64,1144.0,1972.0,1.0
762708425744440,CZ,45-54,3213.0,3890.0,5.0
762708425744440,CZ,25-34,3599.0,1826.0,9.0
1553778902180285,CZ,18-24,657.0,242.0,21.0
1553778902180285,CZ,45-54,3808.0,3462.0,32.0
1553778902180285,CZ,65+,2931.0,5944.0,30.0
1553778902180285,CZ,55-64,2836.0,4266.0,26.0
1553778902180285,CZ,35-44,3258.0,1966.0,22.0
1553778902180285,CZ,25-34,2010.0,924.0,9.0
876984947302922,CZ,25-34,265.0,97.0,1.0
876984947302922,CZ,35-44,405.0,134.0,2.0
876984947302922,CZ,65+,755.0,1067.0,7.0
876984947302922,CZ,55-64,645.0,523.0,5.0
876984947302922,CZ,45-54,560.0,273.0,5.0
876984947302922,CZ,18-24,92.0,39.0,
871282641611626,CZ,18-24,348.0,125.0,6.0
871282641611626,CZ,45-54,3685.0,2870.0,24.0
871282641611626,CZ,65+,2946.0,6082.0,29.0
871282641611626,CZ,55-64,3223.0,4015.0,17.0
871282641611626,CZ,35-44,2574.0,1377.0,14.0
871282641611626,CZ,25-34,1465.0,639.0,9.0
1320708019265746,CZ,35-44,2.0,,
1320708019265746,CZ,45-54,10.0,3.0,1.0
1320708019265746,CZ,55-64,20.0,10.0,
